Zona;flat;house
01001;5964;2
01002;12202;66
01003;13390;138
01004;2940;1
01005;4205;1
01006;7694;154
01007;5066;513
01008;8105;2
01009;4704;4
01010;20672;792
01012;10168;1
01013;6256;712
01015;9497;257
01110;437;171
01117;267;112
01118;296;187
01120;170;101
01128;214;86
01129;201;129
01130;252;220
01138;223;621
01139;244;591
01160;386;47
01165;45;23
01169;149;79
01170;617;319
01191;206;232
01192;804;395
01193;170;331
01194;1075;541
01195;129;303
01196;113;319
01200;2191;218
01206;208;335
01207;204;187
01208;276;305
01211;245;229
01212;356;369
01213;355;480
01216;121;96
01220;186;171
01230;579;512
01240;753;437
01250;637;145
01260;72;59
01300;955;251
01306;459;168
01307;327;449
01308;530;276
01309;416;423
01320;1392;281
01321;20;25
01322;403;242
01330;1091;688
01340;578;271
01400;8014;643
01408;505;63
01409;419;194
01420;94;126
01423;476;405
01426;418;245
01427;214;113
01428;149;275
01430;41;78
01439;130;77
01440;511;138
01449;128;68
01450;197;91
01468;161;208
01470;3782;447
01474;771;230
01476;113;119
01477;222;141
01478;163;71
01479;126;137
01510;90;119
01520;191;346
48001;2700;0
48002;13675;761
48003;18899;253
48004;25779;174
48005;3899;0
48006;13490;47
48007;17813;503
48008;2480;0
48009;5206;0
48010;7186;6
48011;5341;0
48012;14134;40
48013;11910;149
48014;11714;161
48015;11721;122
48100;6664;2727
48110;655;646
48111;257;772
48112;299;555
48113;466;897
48114;564;266
48115;453;262
48116;343;322
48120;732;819
48130;3015;834
48140;2279;488
48141;953;425
48142;306;400
48143;638;197
48144;1094;439
48145;90;104
48150;1778;1061
48160;2746;783
48170;1446;519
48180;728;835
48190;1019;836
48191;519;441
48192;594;388
48194;277;88
48195;1224;554
48196;1053;757
48200;13321;597
48210;680;514
48211;62;8
48212;322;128
48213;133;99
48215;1837;258
48220;3782;455
48230;3425;789
48240;2166;401
48249;235;96
48250;1465;231
48260;7351;103
48269;750;212
48270;2266;187
48276;202;79
48277;626;151
48278;700;282
48280;5264;300
48287;678;205
48288;674;265
48289;620;514
48291;689;226
48300;8453;652
48309;529;270
48310;460;64
48311;838;712
48312;245;94
48313;269;117
48314;470;712
48315;306;221
48320;334;115
48330;1754;414
48340;9058;1198
48350;1282;404
48360;1641;244
48370;9290;391
48380;595;200
48381;512;221
48382;367;182
48383;277;195
48390;554;283
48391;527;97
48392;661;455
48393;430;321
48394;132;212
48395;354;135
48410;915;340
48419;647;241
48450;4759;383
48460;2367;611
48480;5752;1146
48490;1968;98
48498;358;389
48499;742;499
48500;4128;1470
48508;430;682
48510;4912;605
48520;580;147
48530;3530;770
48550;3099;937
48600;6047;1645
48610;2222;599
48620;3224;1721
48630;3764;1462
48640;2283;1419
48650;594;738
48700;4039;37
48710;605;244
48800;3857;288
48810;1371;254
48820;377;92
48830;1898;317
48840;837;228
48850;852;202
48860;2511;697
48869;227;148
48870;177;91
48879;341;313
48880;207;390
48890;677;370
48891;1060;600
48895;192;235
48901;15560;108
48902;16759;332
48903;13545;540
48910;13048;274
48920;21393;598
48930;11750;285
48940;13605;1021
48950;10664;925
48960;13186;1153
48970;18923;294
48980;21323;448
48991;9044;235
48992;6021;496
48993;6878;2182
31001;6565;11
31002;2794;48
31003;2808;1
31004;3809;138
31005;5345;0
31006;8837;145
31007;8743;1
31008;10404;46
31009;1249;8
31010;9049;191
31011;7625;4
